Official Name,Alias (if applicable),Hometown City,Hometown Country,Website,Pic,Genre,Soundcloud,Rating,Notes,Check for correct accents and symols
http://www.djmag.com/top100
David Guetta,NA,Paris,France,http://www.davidguetta.com/#/home,http://i1.sndcdn.com/avatars-000003877623-3q950c-crop.jpg?9d0294f,House,http://soundcloud.com/davidguetta,1,NA,NA
Armin van Buuren,NA,Leyde,Netherlands,http://www.arminvanbuuren.com/,http://i1.sndcdn.com/avatars-000006594616-f34js3-crop.jpg?9d0294f,Trance,http://soundcloud.com/armin-van-buuren-3,2,no updated tourdates (last date 12/31/2011),NA
Tiesto,Tijs Michiel Verwest; DJ Tiesto,Breda,Netherlands,http://www.tiesto.com/Tiesto-home,http://d3muaolby2vhr.cloudfront.net/images/assets/icons/Artist-profile.jpg,Trance,NA,3,NA,yes
Deadmau5,Joel Thomas Zimmerman,Toronto,Canada,http://www.deadmau5.com/,http://www.deadmau5.com/wp-content/uploads/2009/09/MG_0312-290x434.jpg,Progressive House,http://i1.sndcdn.com/avatars-000007415316-3cjbuy-crop.jpg?9d0294f,4,NA,NA
Above & Beyond,NA,London,United Kingdom,http://www.aboveandbeyond.nu/,http://i1.sndcdn.com/avatars-000001763050-zh5k7n-crop.jpg?9d0294f,Trance,http://soundcloud.com/aboveandbeyond,5,NA,NA
Avicii,NA,Stockholm,Sweden,http://www.avicii.com/,http://farm7.static.flickr.com/6162/6192560732_64f115f44b_b.jpg,House,http://soundcloud.com/aviciiofficial,6,no updated tourdates (last date 12/29/2011),NA
Afrojack,NA,,,http://www.afrojack.com/,http://a3.twimg.com/profile_images/1022114477/afro_normal.JPG,Electro House,NA,7,NA,NA
Dash Berlin,NA,The Hague,Netherlands,http://dashberlinworld.com/,http://i1.sndcdn.com/avatars-000001797076-y8g0g2-crop.jpg?9d0294f,Trance,http://soundcloud.com/dashberlin,8,NA,NA
Markus Schulz,NA,Eschwege,Germany,http://www.markusschulz.com/,http://www.markusschulz.com/newdesign2011/wp-content/uploads/2010/10/markus-schulz.jpg,Trance,NA,9,NA,NA
Swedish House Mafia,NA,,,http://www.swedishhousemafia.com/?showhome=1,http://i1.sndcdn.com/avatars-000005350621-7g9xwy-crop.jpg?9d0294f,House,http://soundcloud.com/officialswedishhousemafia,10,NA,NA
Paul Van Dyk,NA,Eisenhuettenstadt,Germany,http://www.paulvandyk.com/intro/,http://www.paulvandyk.com/img/pvd.jpg,Trance,NA,11,NA,NA
Axwell,NA,Stockholm,Sweden,http://www.axwell.co.uk/,http://i1.sndcdn.com/avatars-000001909085-tmb1ej-crop.jpg?9d0294f,House,http://soundcloud.com/axwellofficial,12,NA,NA
Gareth Emery,NA,Manchester,United Kingdom,http://www.garethemery.com/whp/,http://i1.sndcdn.com/avatars-000001546120-misj0z-crop.jpg?9d0294f,Trance,http://soundcloud.com/garethemery,13,NA,NA
Fedde Le Grand,NA,Utrecht,Netherlands,http://feddelegrand.com/,http://www.feddelegrand.com/assets/img/feddelegrand/placeholders/biography.jpg,House,NA,14,NA,NA
ATB,Andre Tanneberger,Freidberg,Germany,http://www.atb-music.com/,http://a4.ec-images.myspacecdn.com/images02/120/f7ae9ca1081f470d97c68d7a94f7b29e/l.jpg,Trance,NA,15,NA,NA
Sander Van Doorn,Sander Ketelaars,Eindhoven,Netherlands,http://www.sandervandoorn.com/,http://www.sandervandoorn.com/images/made/images/uploads/misc/artist_200_133.png,Trance; House,NA,16,NA,NA
Headhunterz,NA,Utrecht,Netherlands,http://www.headhunterz.nl/,http://i1.sndcdn.com/avatars-000004789536-c31j40-crop.jpg?9d0294f,Hard Dance; Hardstyle,http://soundcloud.com/official-headhunterz-page,17,NA,NA
Ferry Corsten,System F,Rotterdam,Netherlands,http://www.myspace.com/ferrycorsten,http://i1.sndcdn.com/avatars-000007407762-yy7psm-crop.jpg?9d0294f,Trance,http://soundcloud.com/ferry-corsten,18,NA,NA
Skrillex,Sonny Moore,Los Angeles,United States,http://www.skrillex.com/,http://i1.sndcdn.com/avatars-000004484270-svbuuq-crop.jpg?9d0294f,Dub Step,http://soundcloud.com/skrillex,19,NA,NA
Laidback Luke,Lucas Cornelis van Scheppingen,,Netherlands,http://www.laidbackluke.com/,http://i1.sndcdn.com/avatars-000003481153-2htfrg-crop.jpg?9d0294f,House,http://soundcloud.com/laidbackluke,20,NA,NA
Infected Mushroom,Erez Eisen and Amit Duvdevani,Haifa,Israel,http://www.infected-mushroom.com/,http://www.infected-mushroom.com/images/infected_mushroom_10.jpg,Psychedelic Trance,NA,21,NA,NA
Aly & Fila,Aly Fathalla and Fadi Wassef Naguib,Cairo,Egypt,http://www.alyandfila.com/,https://fbcdn-sphotos-a.akamaihd.net/hphotos-ak-ash4/302569_10150285814274239_7844139238_7526555_473992_n.jpg,Trance,NA,22,pic might be too big,NA
Steve Angello,NA,Los Angeles,United States,http://www.sizerecords.com/,http://i1.sndcdn.com/avatars-000006589766-892r5j-crop.jpg?9d0294f,House,http://soundcloud.com/steveangello,23,NA,NA
Hardwell,Robbert Hardwell,Breda,Netherlands,http://www.djhardwell.com/,http://i1.sndcdn.com/avatars-000006435415-lwe91y-crop.jpg?9d0294f,NA,http://soundcloud.com/hardwell,24,NA,NA
Arty,Artem Stolyarov,Engels,Russia,http://riseuppro.ru/,https://fbcdn-sphotos-a.akamaihd.net/hphotos-ak-ash4/300801_232979556744964_111274298915491_676812_4668084_n.jpg,Hard House,NA,25,NA,NA
Sebastian Ingrosso,NA,Stockholm,Sweden,https://www.facebook.com/therealingrosso?sk=events,http://i1.sndcdn.com/avatars-000005758478-z2g77r-crop.jpg?9d0294f,House,http://soundcloud.com/sebingrosso,26,NA,NA
Benny Benassi,NA,Reggio,Italy,http://www.bennybenassi.com/,http://a8.sphotos.ak.fbcdn.net/photos-ak-snc1/v3752/104/0/109542248992/n109542248992_2596143_4315691.jpg,House; Electro House; Electro,NA,27,NA,NA
Daft Punk,Guy-Manuel de Homem-Christo and Thomas Bangalter,Paris,France,http://www.daftalive.com/,https://fbcdn-sphotos-a.akamaihd.net/hphotos-ak-ash4/s720x720/390799_10150450669760673_22476490672_10476130_1170663528_n.jpg,House,NA,28,Pic might be too big,NA
Martin Solveig,Martin Picandet,Paris,France,http://www.martinsolveig.com/,http://i1.sndcdn.com/avatars-000003374382-u22xqs-crop.jpg?5d75100,House; Pop; Funk,http://soundcloud.com/martinsolveig,29
Kaskade,Ryan Raddon,Chicago,United States,http://kaskademusic.com/,http://i1.sndcdn.com/avatars-000001470605-9a41gx-crop.jpg?5d75100,House,http://soundcloud.com/kaskade,30,NA,NA
Carl Cox,NA,NA,Barbados,http://www.carlcox.com/#/home,http://www.beatportal.com/uploads/news/carl-cox2.jpg,Techno; House,NA,31,NA,NA
Chuckie,DJ Chuckie,Amsterdam,Netherlands,http://www.djchuckie.com/,http://i1.sndcdn.com/avatars-000007556011-i7b12q-crop.jpg?5d75100,House,http://soundcloud.com/djchuckie,32,NA,NA
Bob Sinclar,Bob Sinclair; Christophe Le Friant,Douarnenez,France,http://www.bobsinclar.com/,http://t3.gstatic.com/images?q=tbn:ANd9GcT6fLIXM3OnlvXbOj10FnUVMBrWb0mOXHo9rxSvkhXbMiqUBGPk&t=1,House,NA,33,NA,NA
Calvin Harris,Adam Richard Wiles,London,United Kingdom,http://www.calvinharris.co.uk/,http://i1.sndcdn.com/avatars-000004276714-2f3mj9-crop.jpg?5d75100,House,http://soundcloud.com/calvinharris,34,NA,NA
Noise Controllers,Bas Oskam and Arjan Terpstra,NA,Netherlands,http://www.noisecontrollers.nl/,http://profile.ak.fbcdn.net/hprofile-ak-snc4/373130_20553908311_1444727779_n.jpg,Hardstyle,NA,35,NA,NA
W&W,Willem van Hanegem and Wardt van der Harst,NA,Netherlands,http://www.wandwmusic.com/frame.html,https://fbcdn-sphotos-a.akamaihd.net/hphotos-ak-snc7/301209_10150301346681365_98723096364_8145127_1953680137_n.jpg,Trance; Tech Trance,NA,36,Pic might be too big,NA
Pete Tha Zouk,NA,Ohlao,Portugal,http://www.petethazouk.com/,http://i1.sndcdn.com/avatars-000006790515-2tq196-crop.jpg?5d75100,House,http://soundcloud.com/djpetethazouk,37,NA,NA
Dada Life,Olle Corneer and Stefan Engblom,Stockholm,Sweden,http://www.dadalife.com/,http://i1.sndcdn.com/avatars-000003697252-9icwm3-crop.jpg?5d75100,Electro House,http://soundcloud.com/dada-life,38,NA,NA
Angerfist,Danny Masseling,Hengelo,Netherlands,http://www.angerfist.nl/,http://i1.sndcdn.com/avatars-000003947191-zgfm9e-crop.jpg?5d75100,Hardcore,http://soundcloud.com/angerfist-1,39,Website coming soon,NA
D-Block & S-Te-Fan,Diederik Bakker and Stefan den Daas,The Hague,Netherlands,http://www.dbstf.com/,http://i1.sndcdn.com/avatars-000005025090-dk6y5s-crop.jpg?5d75100,Hardstyle,http://soundcloud.com/dbstf,40,NA,NA
Coone,Koen Bauweraerts; DJ Coone,Turnhout,Belgium,http://www.coone.be/,http://i1.sndcdn.com/avatars-000006862727-4b5env-crop.jpg?5d75100,Hardstyle,http://soundcloud.com/coone,41,NA,NA
Steve Aoki,Steve Hiroyuki Aoki; Kid Millionaire,Newport Beach,United States,http://steveaoki.com/,https://encrypted-tbn1.google.com/images?q=tbn:ANd9GcSU3VWTHV8WpdMHzdrPO62ocSglBF0l51AdHk5H0aM7OiClaKg75A,Electro House,NA,42,NA,NA
Cosmic Gate,DJ Bossi & Nic Chagall,Krefeld,Germany,http://www.cosmic-gate.de/,http://i1.sndcdn.com/avatars-000002513399-zn1p7m-crop.jpg?5d75100,Trance,http://soundcloud.com/cosmicgateofficial,43,NA,NA
Bobina,Dmitry BOBINA Almazov,Moscow,Russia,http://bobina.info/en/index/,http://i1.sndcdn.com/avatars-000004165226-w6tig5-crop.jpg?5d75100,Trance,http://soundcloud.com/bobina,44,NA,NA
Richie Hawtin,Plastikman,Oxfordshire,United Kingdom,http://onecity.richiehawtin.com/,http://partysan.net/wp-content/themes/partisan/phpthumb/phpThumb.php?src=/files/2007/04/2007.04.17-Hawtin-Platikman.jpg&w=141&h=172&zc=T&q=100&blogId=1,Techno,NA,45,NA,NA
Eric Prydz,NA,London,United Kingdom,http://ericprydz.tv/,http://i1.sndcdn.com/avatars-000001249495-0oisik-crop.jpg?5d75100,House,http://soundcloud.com/eric-prydz,46,NA,NA
DJ Zatox,Gerardo Roschini; Zatox,NA,Italy,http://www.djzatox.com/#home,http://40.img.v4.skyrock.net/408/djnixis/pics/2977121391_0_3_tmaCnlwv.jpg,Italian Hardstyle,NA,47,NA,NA
tyDi,Tyson Illingworth,Brisbane,Australia,http://www.tydi.com/site/,http://www.loudnoises.com.au/dl/images/tyDi/155x155/dob/tyDi.jpg.JPG?1315677706,Trance,,48,NA,NA
Orjan Nilsen,,,,http://www.orjannilsen.com/,,,,49,NA,NA
Andy Moor,,,,http://www.andymoor.com/,,,,50,NA,NA
Erick Morillo,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Danny Tenaglia,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Kenny Dope,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Carol Rios,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Marcos Paz,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Fran Percamili,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Matias Sundblad,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
D-Formation,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
ESP,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Thomas Gold,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Mike Toast,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Cari Lekebusch,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Gary Beck,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Joel Mull,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Mike Dehnert,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Par Grindvik,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Suzi Wong,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Marcel Heese,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Ir.Vendermeulen,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Daan Modern,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
De Pep,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Shinichi Osawa,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Ken Ishii,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
DJ Yummy,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Masatoshi Uemura,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Dimitri Vegas,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Like Mike,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Abel The Kid,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
SuperMartXe,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
DJ Vitti,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Hugo Sanchez,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
AB Garcia,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
John Shelvin,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Michael Sanchez,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Salva di Nobles,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Craig Richards,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Terry Francis,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Lil' Louis,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Tobi Neumann,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Maya Jane Coles,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Adam Beyer,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Slam,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Alan Fitzpatrick,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
The Mole,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
Claus Voigtmann,NA,NA,NA,NA,NA,House,NA,NA,NA,NA
